image_id,work_id,miro_image_number,title,description,work_type,contributors,production_dates,production_places,production_agents,subjects,genres,license_id,license_label,license_url,credit,access_status,aspect_ratio,iiif_image_id,thumbnail_url,full_image_url,work_page_url,image_page_url,filename
d22mujbp,s3j7mfa6,L0008787,"Pewter bleeding bowl, with pierced handle, 17th to 18th century.","Pewter bleeding bowl, with pierced handle.",Digital Images,,,,,,Museum object,pdm,Public Domain Mark,https://creativecommons.org/share-your-work/public-domain/pdm/,Wellcome Collection,Open,1.8691589,L0008787,"https://iiif.wellcomecollection.org/image/L0008787/full/300,/0/default.jpg",https://iiif.wellcomecollection.org/image/L0008787/full/full/0/default.jpg,https://wellcomecollection.org/works/s3j7mfa6,https://wellcomecollection.org/works/s3j7mfa6/images?id=d22mujbp,Pewter_bleeding_bowl_with_pierced_handle_17th_to_18th_century_Wellcome_L0008787.jpg
e6tg9yx7,pz6caqnx,M0014325EC,"Monaural stethoscope, designed by Laennec.","Monaural stethoscope, designed by Laennec; long (3rd type).",Digital Images,,,,,Stethoscope; 19th century,Museum object,cc-by,Attribution 4.0 International (CC BY 4.0),http://creativecommons.org/licenses/by/4.0/,Wellcome Collection,Open,0.2,M0014325EC,"https://iiif.wellcomecollection.org/image/M0014325EC/full/300,/0/default.jpg",https://iiif.wellcomecollection.org/image/M0014325EC/full/full/0/default.jpg,https://wellcomecollection.org/works/pz6caqnx,https://wellcomecollection.org/works/pz6caqnx/images?id=e6tg9yx7,Monaural_stethoscope_designed_by_Laennec_Wellcome_M0014325EC.jpg
eajcbjkh,tmfny5bs,L0007484,"Medicine bottles, 19th century. Recessed gilded label, Varnished gilded label, brown edged.","Medicine bottles. Recessed gilded label (strong solution of amnonia). Varnished gilded label, brown edged (caraway water).",Digital Images,,,,,,Museum object,pdm,Public Domain Mark,https://creativecommons.org/share-your-work/public-domain/pdm/,Wellcome Collection,Open,1.0204082,L0007484,"https://iiif.wellcomecollection.org/image/L0007484/full/300,/0/default.jpg",https://iiif.wellcomecollection.org/image/L0007484/full/full/0/default.jpg,https://wellcomecollection.org/works/tmfny5bs,https://wellcomecollection.org/works/tmfny5bs/images?id=eajcbjkh,Medicine_bottles_19th_century_Recessed_gilded_label_Varnished_gilded_label_brown_edged_Wellcome_L0007484.jpg
ekpes2kh,kfpjxsqt,L0014394,"Graeco-Roman limestone statue, identified as a figure of Bes, and dated 6th/5th century, B.C.","Graeco-Roman limestone statue, identified as a figure of Bes, side view",Digital Images,,,,,,Museum object,pdm,Public Domain Mark,https://creativecommons.org/share-your-work/public-domain/pdm/,Wellcome Collection,Open,1.754386,L0014394,"https://iiif.wellcomecollection.org/image/L0014394/full/300,/0/default.jpg",https://iiif.wellcomecollection.org/image/L0014394/full/full/0/default.jpg,https://wellcomecollection.org/works/kfpjxsqt,https://wellcomecollection.org/works/kfpjxsqt/images?id=ekpes2kh,Graeco-Roman_limestone_statue_identified_as_a_figure_of_Bes_and_dated_6th_5th_century_B_C_Wellcome_L0014394.jpg
g4gkqkah,pbna97zk,L0034187,Ivory anatomical model of a a pregnant female,,Digital Images,,,,,"Models, Anatomic",Museum object,pdm,Public Domain Mark,https://creativecommons.org/share-your-work/public-domain/pdm/,Wellcome Collection,Open,1.532567,L0034187,"https://iiif.wellcomecollection.org/image/L0034187/full/300,/0/default.jpg",https://iiif.wellcomecollection.org/image/L0034187/full/full/0/default.jpg,https://wellcomecollection.org/works/pbna97zk,https://wellcomecollection.org/works/pbna97zk/images?id=g4gkqkah,Ivory_anatomical_model_of_a_a_pregnant_female_Wellcome_L0034187.jpg
guqmtzwk,ve83fdye,L0010006,"Anatomical model of human brain, paper mache, French, 19th century","Anatomical model of human brain, paper mache, French",Digital Images,,,,,,Museum object,pdm,Public Domain Mark,https://creativecommons.org/share-your-work/public-domain/pdm/,Wellcome Collection,Open,0.7325,L0010006,"https://iiif.wellcomecollection.org/image/L0010006/full/300,/0/default.jpg",https://iiif.wellcomecollection.org/image/L0010006/full/full/0/default.jpg,https://wellcomecollection.org/works/ve83fdye,https://wellcomecollection.org/works/ve83fdye/images?id=guqmtzwk,Anatomical_model_of_human_brain_paper_mache_French_19th_century_Wellcome_L0010006.jpg
kbmz5pbr,fz92ceuq,L0008598,Carved and painted wooden mask.,"Carved and painted wooden Spirit Mask. Grotesque face representing one of the spirits the Eskimo shaman must encounter. S.W. Alaska, this type also occurs among the Central Eskimo.",Digital Images,,,,,,Museum object,cc-by,Attribution 4.0 International (CC BY 4.0),http://creativecommons.org/licenses/by/4.0/,Wellcome Collection,Open,0.7075,L0008598,"https://iiif.wellcomecollection.org/image/L0008598/full/300,/0/default.jpg",https://iiif.wellcomecollection.org/image/L0008598/full/full/0/default.jpg,https://wellcomecollection.org/works/fz92ceuq,https://wellcomecollection.org/works/fz92ceuq/images?id=kbmz5pbr,Carved_and_painted_wooden_mask_Wellcome_L0008598.jpg
svu67wxz,n9agzv74,L0014395,"Graeco-Roman limestone statue, identified as a figure of Bes, and dated 6th/5th century, B.C., hole in head for support of hat","Graeco-Roman limestone statue, identified as a figure of Bes, hole in head for support of hat",Digital Images,,,,,,Museum object,pdm,Public Domain Mark,https://creativecommons.org/share-your-work/public-domain/pdm/,Wellcome Collection,Open,1.1396011,L0014395,"https://iiif.wellcomecollection.org/image/L0014395/full/300,/0/default.jpg",https://iiif.wellcomecollection.org/image/L0014395/full/full/0/default.jpg,https://wellcomecollection.org/works/n9agzv74,https://wellcomecollection.org/works/n9agzv74/images?id=svu67wxz,Graeco-Roman_limestone_statue_identified_as_a_figure_of_Bes_and_dated_6th_5th_century_B_C_hole_in_head_for_support_of_hat_Wellcome_L0014395.jpg
tfhmf8mw,jc6h9w3m,L0014393,"Graeco-Roman limestone statue, identified as a figure of Bes, and dated 6th/5th century, B.C.","Graeco-Roman limestone statue, identified as a figure of Bes, front view",Digital Images,,,,,,Museum object,pdm,Public Domain Mark,https://creativecommons.org/share-your-work/public-domain/pdm/,Wellcome Collection,Open,1.4925373,L0014393,"https://iiif.wellcomecollection.org/image/L0014393/full/300,/0/default.jpg",https://iiif.wellcomecollection.org/image/L0014393/full/full/0/default.jpg,https://wellcomecollection.org/works/jc6h9w3m,https://wellcomecollection.org/works/jc6h9w3m/images?id=tfhmf8mw,Graeco-Roman_limestone_statue_identified_as_a_figure_of_Bes_and_dated_6th_5th_century_B_C_Wellcome_L0014393.jpg
tg327gnh,dy4mrepe,L0008582,"Pipe, argillite shale, very fine carving with intricately interlacing totemic figures of animals and supernatural creatures. Collected by the late Mr. George Roberts of Hudson's bay company. Haida Indians, North West Coast of America, Queen Charlotte Islands.",,Digital Images,Charles Edenshaw,,,,"Anthropology, Cultural; Anthropology: Native American; Beliefs: religion: culture",Museum object,pdm,Public Domain Mark,https://creativecommons.org/share-your-work/public-domain/pdm/,Wellcome Collection,Open,1.8018018,L0008582,"https://iiif.wellcomecollection.org/image/L0008582/full/300,/0/default.jpg",https://iiif.wellcomecollection.org/image/L0008582/full/full/0/default.jpg,https://wellcomecollection.org/works/dy4mrepe,https://wellcomecollection.org/works/dy4mrepe/images?id=tg327gnh,Pipe_argillite_shale_very_fine_carving_with_intricately_interlacing_totemic_figures_of_animals_and_supernatural_creatures_Collected_by_the_late_Mr_George_Roberts_of_Hudson_s_bay_Wellcome_L0008582.jpg
y7tdg62q,gkdmrv39,L0010007,"Anatomical model of human brain, paper mache, French, 19th century","Anatomical model of human brain, paper mache, French",Digital Images,,,,,,Museum object,pdm,Public Domain Mark,https://creativecommons.org/share-your-work/public-domain/pdm/,Wellcome Collection,Open,0.6675,L0010007,"https://iiif.wellcomecollection.org/image/L0010007/full/300,/0/default.jpg",https://iiif.wellcomecollection.org/image/L0010007/full/full/0/default.jpg,https://wellcomecollection.org/works/gkdmrv39,https://wellcomecollection.org/works/gkdmrv39/images?id=y7tdg62q,Anatomical_model_of_human_brain_paper_mache_French_19th_century_Wellcome_L0010007.jpg
zm5jzpme,suzn47b9,L0008776,"Pewter bleeding bowl, graduated, no handle, 18th to 19th century.","Bleeding bowl, loop handle.",Digital Images,,,,,,Museum object,pdm,Public Domain Mark,https://creativecommons.org/share-your-work/public-domain/pdm/,Wellcome Collection,Open,1.6194332,L0008776,"https://iiif.wellcomecollection.org/image/L0008776/full/300,/0/default.jpg",https://iiif.wellcomecollection.org/image/L0008776/full/full/0/default.jpg,https://wellcomecollection.org/works/suzn47b9,https://wellcomecollection.org/works/suzn47b9/images?id=zm5jzpme,Pewter_bleeding_bowl_graduated_no_handle_18th_to_19th_century_Wellcome_L0008776.jpg
